c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
Red-violet,2132,Pipit de Godlewski,8,Amur Leopard,718305,Pine White,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
kohlrabenschwarz,2075,Лебедь,8,Cougar,4.20497e+06,Sooty Copper,"""Where's Wally?"", Martin Handford"
Grünspan,2095,Macreuse à bec jaune,8,Asiatic Lion,2.85172e+06,"Orange Sulphur, Alfalfa Butterfly","""Charlotte's Web"", E.B. White"
白湯,2106,Silbón Europeo,1,Lion,2.97735e+06,Moss' Elfin,"'Dune', Frank Herbert"
noir,2113,Malvasía Cabeciblanca,4,Clouded Leopard,2.13458e+06,Dainty Sulphur,"'Watership Down', Richard Adams"
Red-violet,2035,Silbón Europeo,8,,143069,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
altrosa,2101,Araqua-pintado,8,,656596,"Faun, Green Comma","""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2084,Pipit de Godlewski,1,Leopard,2.21946e+06,Peacock Butterfly,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
altrosa,2138,Marreca-cabocla,8,,652945,"""Verdi"" Sandhill Skipper","'Watership Down', Richard Adams"
violeta,2077,Löffelente,2,Leopard,1.35559e+06,Indra Swallowtail,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
schneeweiß,2118,Löffelente,9,Cougar,2.36522e+06,Pine White,"'Shōgun', James Clavell"
коричневый,2125,Purpurreiher,8,Cougar,2.57159e+06,Edith's Checkerspot,"'Watership Down', Richard Adams"
красный,2094,Puffin des Baléares,8,Jaguar,164391,Gulf Fritillary,"'Dune', Frank Herbert"
серый,2139,Лебедь,8,Asiatic Lion,1.57133e+06,"Orange Sulphur, Alfalfa Butterfly","""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
marrón,2121,Голубь,8,,1.56491e+06,"""Agricultural"" Melissa Blue","""Where's Wally?"", Martin Handford"
schneeweiß,2119,Araqua-pintado,6,,1.45803e+06,Pine White,"""Where's Wally?"", Martin Handford"
altrosa,2127,Воробей,8,Asiatic Cheetah,2.4936e+06,Gulf Fritillary,"""Charlotte's Web"", E.B. White"
blutrot,2147,Голубь,8,Asiatic Cheetah,3.81853e+06,"Orange Sulphur, Alfalfa Butterfly","'The Exorcist', William Peter Blatty"
濡れ羽色,2139,Tüpfelsumpfhuhn,7,,3.51537e+06,Dainty Sulphur,"""Roget's Thesaurus"", Peter Mark Roget"
fumée,2115,Орёл,8,,1.99627e+06,Dainty Sulphur,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2119,Pipit de Godlewski,8,Asiatic Lion,2.62755e+06,Dainty Sulphur,"'The Odyssey', Homer"
ébène,2147,Ánsar Piquicorto,4,Jaguar,1.16416e+06,Edith's Checkerspot,"""Roget's Thesaurus"", Peter Mark Roget"
blanc,2043,Malvasía Cabeciblanca,8,Clouded Leopard,1.74208e+06,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
暗紅色/暗赤色,2125,Goéland d'Amérique,5,,1.52333e+06,Ringle,"'A Tale of Two Cities', Charles Dickens"
rouge,2122,Macreuse à bec jaune,8,,641858,Holly Blue,"""Where's Wally?"", Martin Handford"
pechschwarz,2119,Tüpfelsumpfhuhn,8,Cheetah,2.79916e+06,Edith's Checkerspot,"'The Grapes of Wrath', John Steinbeck"
Red-violet,2125,Silbón Europeo,5,Lion,2.4641e+06,Mazarine Blue,"""Charlotte's Web"", E.B. White"
blutrot,2109,Pipit de Godlewski,8,Snow Leopard,1.89925e+06,Mylitta Crescent,"""Roget's Thesaurus"", Peter Mark Roget"
Cerise,2060,Macuco,1,,3.76633e+06,Ringle,"""There are no facts, only interpretations."", Friedrich Nietzsche"
marrón,2138,Лебедь,8,Leopard,1.47373e+06,Holly Blue,"'The Grapes of Wrath', John Steinbeck"
blanc,2060,Pipit de Godlewski,8,Jaguar,790306,Gray-Veined White,"'The Godfather', Mario Puzo"
café,2140,Орёл,8,Leopard,149778,"Faun, Green Comma","""There are no facts, only interpretations."", Friedrich Nietzsche"
café,2121,Silbón Europeo,4,Leopard,4.19777e+06,"""Agricultural"" Melissa Blue","'The Godfather', Mario Puzo"
Red-violet,2070,Pipit de Godlewski,8,Leopard,244812,"Faun, Green Comma","'A Tale of Two Cities', Charles Dickens"
púrpura,2140,Malvasía Cabeciblanca,6,Snow Leopard,2.94914e+06,Gulf Fritillary,"'The Mark of Zorro', Johnston McCulley"
kohlrabenschwarz,2065,Pipit de Godlewski,7,Mountain Lion,385234,Sandhill Skipper,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
marrón,2111,Лебедь,8,,4.31539e+06,"""Verdi"" Sandhill Skipper","""Do, or do not. There is no 'try'."", Yoda"
púrpura,2094,Puffin des Baléares,1,Leopard,862790,Ringle,"'The Mark of Zorro', Johnston McCulley"
fumée,2065,Araqua-pintado,8,Jaguar,2.77669e+06,Peacock Butterfly,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
жёлтый,2134,Malvasía Cabeciblanca,8,Leopard,1.54214e+06,Ox-Eyed Satyr,"'The Grapes of Wrath', John Steinbeck"
白湯,2148,Malvasía Cabeciblanca,8,Leopard,3.94597e+06,"Faun, Green Comma","'The Godfather', Mario Puzo"
Grünspan,2129,Purpurreiher,9,,650996,"""Agricultural"" Melissa Blue","'The Grapes of Wrath', John Steinbeck"
jaune,2080,Malvasía Cabeciblanca,8,Snow Leopard,723984,Dainty Sulphur,"'The Exorcist', William Peter Blatty"
schneeweiß,2138,Pipit de Godlewski,8,Leopard,2.95973e+06,"Orange Sulphur, Alfalfa Butterfly","""Do, or do not. There is no 'try'."", Yoda"
ébène,2099,Löffelente,8,,1.63745e+06,Pine White,"'Catch-22', Joseph Heller"
café,2133,Tüpfelsumpfhuhn,8,Asiatic Lion,1.06757e+06,Pine White,"'Dune', Frank Herbert"
Grünspan,2007,Weißwangengans,8,Lion,3.98436e+06,Moss' Elfin,"'Dune', Frank Herbert"
blanc,2090,Purpurreiher,8,Clouded Leopard,1.65828e+06,Holly Blue,"'A Tale of Two Cities', Charles Dickens"
púrpura,2129,Purpurreiher,8,Snow Leopard,3.27177e+06,Ox-Eyed Satyr,"'Shōgun', James Clavell"
jaune,2107,Macuco,8,Cheetah,513835,"Orange Sulphur, Alfalfa Butterfly","'Dune', Frank Herbert"
violeta,2110,Araqua-pintado,5,,1.26218e+06,Ringle,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
türkis,2129,Macuco,8,Asiatic Cheetah,380916,Ox-Eyed Satyr,"'Dune', Frank Herbert"
türkis,2090,Pipit de Godlewski,4,Leopard,441043,Gray-Veined White,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2087,Araqua-pintado,8,Cheetah,1.25162e+06,Pine White,"""If you are going through hell, keep going."", Sir Winston Churchill"
türkis,2045,Tüpfelsumpfhuhn,8,,1.68434e+06,Ringle,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
Grünspan,2145,Malvasía Cabeciblanca,5,Cougar,1.40097e+06,Sooty Copper,"'20,000 Leagues under the Sea', Jules Verne"
暗紅色/暗赤色,2131,Malvasía Cabeciblanca,8,Jaguar,598534,Ox-Eyed Satyr,"'1984', George Orwell"
púrpura,2117,Голубь,2,Leopard,1.37246e+06,Dainty Sulphur,"'The Odyssey', Homer"
púrpura,2060,Macreuse à bec jaune,5,Cheetah,1.45481e+06,Holly Blue,"""Charlotte's Web"", E.B. White"
濡れ羽色,2076,Воробей,8,,686241,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2085,Macuco,8,Asiatic Lion,377539,Arctic Skipper,"'Watership Down', Richard Adams"
Cerise,2128,Tüpfelsumpfhuhn,8,,223851,Pine White,"'1984', George Orwell"
blutrot,2030,Weißwangengans,10,,1.97738e+06,Ox-Eyed Satyr,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
dorado,2110,Macreuse à bec jaune,3,Lion,2.73796e+06,Dainty Sulphur,"'The Exorcist', William Peter Blatty"
fumée,2115,Purpurreiher,8,,3.31828e+06,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
красный,2095,Porrón Islándico,8,,391803,Arctic Skipper,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
Cerise,2136,Silbón Europeo,8,Clouded Leopard,239651,Ringle,"'Jaws', Peter Benchley"
fumée,2060,Tüpfelsumpfhuhn,11,Leopard,1.93139e+06,"Blue Copper, ""Varied Blue""","""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
白湯,2123,Pipit de Godlewski,5,Lion,1.04003e+06,Dainty Sulphur,"'A Tale of Two Cities', Charles Dickens"
marrón,2148,Marreca-cabocla,5,Amur Leopard,1.13586e+06,Peacock Butterfly,"'Jaws', Peter Benchley"
pechschwarz,2040,Pipit de Godlewski,8,Jaguar,3.0645e+06,Holly Blue,"'A Tale of Two Cities', Charles Dickens"
jaune,2143,Macuco,8,Clouded Leopard,261519,"Orange Sulphur, Alfalfa Butterfly","'The Godfather', Mario Puzo"
dorado,2098,Macreuse à bec jaune,7,Mountain Lion,903976,"""Agricultural"" Melissa Blue","'The Godfather', Mario Puzo"
café,2116,Purpurreiher,8,,1.80975e+06,Sooty Copper,"'A Tale of Two Cities', Charles Dickens"
púrpura,2093,Malvasía Cabeciblanca,4,Cheetah,48102.3,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
Indigo,2126,Silbón Europeo,8,Asiatic Lion,353942,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2144,Орёл,8,Amur Leopard,2.36382e+06,Mazarine Blue,"'The Godfather', Mario Puzo"
jaune,2123,Malvasía Cabeciblanca,8,Lion,974539,Peacock Butterfly,"""Where's Wally?"", Martin Handford"
marrón,2068,Ánsar Piquicorto,8,,2.28782e+06,"Faun, Green Comma","""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2116,Purpurreiher,9,,1.18734e+06,Gray-Veined White,"""If you are going through hell, keep going."", Sir Winston Churchill"
schneeweiß,2077,Weißwangengans,8,Lion,2.86256e+06,Pine White,"'Dune', Frank Herbert"
濡れ羽色,2122,Weißwangengans,4,Leopard,1.87025e+06,"Icarioides Blue, Boisduval's Blue","'The Godfather', Mario Puzo"
ébène,2018,Орёл,8,,500685,Pine White,"'20,000 Leagues under the Sea', Jules Verne"
Red-violet,2048,Löffelente,8,Cougar,208262,Ox-Eyed Satyr,"'The Grapes of Wrath', John Steinbeck"
schneeweiß,2131,Purpurreiher,8,Cheetah,892921,"Orange Sulphur, Alfalfa Butterfly","'1984', George Orwell"
чёрный,2052,Pipit de Godlewski,4,,1.04989e+06,Edith's Checkerspot,"'The Godfather', Mario Puzo"
jaune,2140,Macuco,5,Snow Leopard,2.47987e+06,Monarch,"'The Godfather', Mario Puzo"
墨色,2092,Weißwangengans,8,Jaguar,4.51067e+06,"""Agricultural"" Melissa Blue","'The Godfather', Mario Puzo"
kohlrabenschwarz,2059,Macuco,8,Cheetah,4.00927e+06,Dainty Sulphur,"'20,000 Leagues under the Sea', Jules Verne"
красный,2114,Pipit de Godlewski,8,Mountain Lion,2.59017e+06,Holly Blue,"'Watership Down', Richard Adams"
fumée,2050,Орёл,8,Cheetah,1.95782e+06,Edith's Copper,"""Charlotte's Web"", E.B. White"
白湯,2100,Purpurreiher,4,,4.21644e+06,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
白湯,2062,Weißwangengans,8,Lion,2.44305e+06,Holly Blue,"'A Tale of Two Cities', Charles Dickens"
schneeweiß,2073,Weißwangengans,5,,484052,Gulf Fritillary,"""Charlotte's Web"", E.B. White"
красный,2136,Silbón Europeo,8,Leopard,2.82839e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
ébène,2140,Орёл,4,,2.03592e+06,Gray-Veined White,"""Where's Wally?"", Martin Handford"
Grünspan,2125,Macuco,8,,425705,"Blue Copper, ""Varied Blue""","'Jaws', Peter Benchley"
violeta,2033,Purpurreiher,8,Asiatic Lion,3.89898e+06,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
pechschwarz,2146,Silbón Europeo,9,Clouded Leopard,1.23342e+06,Ringle,"""Moral indignation is jealousy with a halo."", H. G. Wells"
schneeweiß,2045,Puffin des Baléares,8,Snow Leopard,617917,"""Verdi"" Sandhill Skipper","""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
café,2107,Araqua-pintado,8,Asiatic Lion,3.04699e+06,"""Agricultural"" Melissa Blue","'Catch-22', Joseph Heller"
ébène,2042,Malvasía Cabeciblanca,8,Asiatic Lion,3.58983e+06,Gulf Fritillary,"'Dune', Frank Herbert"
kohlrabenschwarz,2098,Purpurreiher,8,Jaguar,1.22694e+06,Edith's Copper,"'Shōgun', James Clavell"
schneeweiß,2039,Macuco,8,Cougar,3.07552e+06,Arctic Skipper,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2106,Purpurreiher,8,Jaguar,2.31599e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
altrosa,2126,Pipit de Godlewski,8,Cougar,2.20608e+06,"""Verdi"" Sandhill Skipper","""Moral indignation is jealousy with a halo."", H. G. Wells"
Red-violet,2123,Malvasía Cabeciblanca,8,Amur Leopard,953811,"Orange Sulphur, Alfalfa Butterfly","'Don Quixote', Miguel de Cervantes"
blutrot,2138,Araqua-pintado,5,Jaguar,4.1929e+06,"Faun, Green Comma","'The Hobbit', J.R.R. Tolkien"
серый,2011,Purpurreiher,5,Jaguar,2.54398e+06,Indra Swallowtail,"'A Tale of Two Cities', Charles Dickens"
marrón,2143,Araqua-pintado,2,Cheetah,2.35676e+06,Ox-Eyed Satyr,"'The Grapes of Wrath', John Steinbeck"
altrosa,2113,Weißwangengans,8,,1.53603e+06,Edith's Checkerspot,"""Where's Wally?"", Martin Handford"
ébène,2130,Malvasía Cabeciblanca,8,,2.11896e+06,Red Admiral,"'The Hobbit', J.R.R. Tolkien"
marrón,2085,Tüpfelsumpfhuhn,8,Asiatic Cheetah,4.56354e+06,Pine White,"'Watership Down', Richard Adams"
kohlrabenschwarz,2070,Орёл,1,Amur Leopard,2.53924e+06,"Crown Fritillary, Coronis Fritillary","'The Hobbit', J.R.R. Tolkien"
céruse,2132,Porrón Islándico,1,Leopard,1.6167e+06,"Faun, Green Comma","'The Exorcist', William Peter Blatty"
jaune,2140,Purpurreiher,8,,861899,"Orange Sulphur, Alfalfa Butterfly","'Dune', Frank Herbert"
zitronengelb,2138,Araqua-pintado,8,Clouded Leopard,1.57795e+06,Moss' Elfin,"""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2049,Porrón Islándico,8,Lion,65450,Purple Hairstreak,"""Do, or do not. There is no 'try'."", Yoda"
Grünspan,2123,Pipit de Godlewski,9,,2.98662e+06,"""Verdi"" Sandhill Skipper","'Watership Down', Richard Adams"
pechschwarz,2142,Pipit de Godlewski,8,Cheetah,733461,"""Verdi"" Sandhill Skipper","'Shōgun', James Clavell"
jaune,2103,Tüpfelsumpfhuhn,8,Clouded Leopard,3.55315e+06,Peacock Butterfly,"'Shōgun', James Clavell"
blanc,2147,Tüpfelsumpfhuhn,8,Asiatic Lion,788652,Gulf Fritillary,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
altrosa,2124,Macreuse à bec jaune,8,Asiatic Lion,559026,Edith's Copper,"'The Mark of Zorro', Johnston McCulley"
Red-violet,2092,Weißwangengans,8,Cougar,4.07347e+06,"""Verdi"" Sandhill Skipper","'The Mark of Zorro', Johnston McCulley"
Indigo,2139,Ánsar Piquicorto,1,Cheetah,1.22487e+06,Gray-Veined White,"""Roget's Thesaurus"", Peter Mark Roget"
café,2045,Marreca-cabocla,8,Lion,2.96523e+06,Sooty Copper,"""Charlotte's Web"", E.B. White"
濡れ羽色,2082,Pipit de Godlewski,8,Cougar,1.92731e+06,Purple Hairstreak,"'The Exorcist', William Peter Blatty"
schneeweiß,2107,Purpurreiher,8,Leopard,420382,"Orange Sulphur, Alfalfa Butterfly","""Roget's Thesaurus"", Peter Mark Roget"
紅梅色,2094,Silbón Europeo,8,Jaguar,1.76108e+06,Sooty Copper,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
kohlrabenschwarz,2127,Löffelente,8,Cougar,300432,Moss' Elfin,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
altrosa,2091,Pica-pau-de-penacho,8,Jaguar,1.26021e+06,"Blue Copper, ""Varied Blue""","'Don Quixote', Miguel de Cervantes"
rouge,2063,Лебедь,8,,4.02415e+06,Monarch,"'Shōgun', James Clavell"
café,2028,Macreuse à bec jaune,8,Leopard,150408,Holly Blue,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2115,Воробей,0,Leopard,1.91575e+06,Dainty Sulphur,"'The Godfather', Mario Puzo"
серый,2038,Purpurreiher,8,Mountain Lion,3.5683e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
fumée,2095,Löffelente,5,,4.37645e+06,Dainty Sulphur,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
türkis,2072,Weißwangengans,8,Lion,1.48861e+06,Acmon Blue,"'A Tale of Two Cities', Charles Dickens"
violeta,2070,Malvasía Cabeciblanca,8,Cougar,496136,Ringle,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
pechschwarz,2128,Löffelente,2,Asiatic Lion,1.46886e+06,Peacock Butterfly,"""Roget's Thesaurus"", Peter Mark Roget"
白湯,2054,Löffelente,8,Leopard,362815,Anise Swallowtail,"""Roget's Thesaurus"", Peter Mark Roget"
pechschwarz,2119,Silbón Europeo,8,,251182,Edith's Checkerspot,"'The Odyssey', Homer"
серый,2114,Löffelente,8,Clouded Leopard,1.03582e+06,"""Agricultural"" Melissa Blue","'The Exorcist', William Peter Blatty"
café,2118,Weißwangengans,7,Lion,2.24773e+06,Ringle,"'The Exorcist', William Peter Blatty"
blutrot,2069,Pipit de Godlewski,8,,1.36644e+06,Behr's Hairstreak,"'Watership Down', Richard Adams"
café,2073,Macuco,8,Leopard,1.25241e+06,Moss' Elfin,"'Catch-22', Joseph Heller"
серый,2113,Malvasía Cabeciblanca,2,Lion,2.46542e+06,"Icarioides Blue, Boisduval's Blue","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
schneeweiß,2107,Silbón Europeo,8,,2.01507e+06,"Blue Copper, ""Varied Blue""","""Moral indignation is jealousy with a halo."", H. G. Wells"
濡れ羽色,2138,Pipit de Godlewski,5,Snow Leopard,2.67385e+06,"Orange Sulphur, Alfalfa Butterfly","'20,000 Leagues under the Sea', Jules Verne"
púrpura,2126,Лебедь,4,Leopard,1.95101e+06,"Faun, Green Comma","""Charlotte's Web"", E.B. White"
濡れ羽色,2085,Silbón Europeo,8,,3.51745e+06,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
zitronengelb,2139,Goéland d'Amérique,8,,1.07265e+06,Edith's Checkerspot,"""Charlotte's Web"", E.B. White"
türkis,2147,Silbón Europeo,5,Asiatic Lion,3.40628e+06,Peacock Butterfly,"'20,000 Leagues under the Sea', Jules Verne"
marrón,2105,Орёл,8,,2.43699e+06,"Faun, Green Comma","""Do, or do not. There is no 'try'."", Yoda"
zitronengelb,2041,Weißwangengans,8,Leopard,2.29444e+06,"""Agricultural"" Melissa Blue","'Shōgun', James Clavell"
jaune,2129,Silbón Europeo,8,,1.66121e+06,Ringle,"""There are no facts, only interpretations."", Friedrich Nietzsche"
violeta,2123,Macreuse à bec jaune,8,,2.79285e+06,Sooty Copper,"'The Godfather', Mario Puzo"
zitronengelb,2139,Macuco,8,Asiatic Lion,356390,Holly Blue,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
濡れ羽色,2048,Purpurreiher,2,Amur Leopard,3.4178e+06,Ringle,"""Charlotte's Web"", E.B. White"
noir,2092,Araqua-pintado,11,Asiatic Cheetah,4.68262e+06,Painted Lady,"'A Tale of Two Cities', Charles Dickens"
白湯,2051,Tüpfelsumpfhuhn,8,Cheetah,239647,Pine White,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
Grünspan,2146,Macuco,8,Jaguar,840153,Pine White,"""Roget's Thesaurus"", Peter Mark Roget"
blanc,2101,Malvasía Cabeciblanca,8,Snow Leopard,898199,Arctic Skipper,"'The Hobbit', J.R.R. Tolkien"
rouge,2116,Silbón Europeo,0,Asiatic Lion,3.11601e+06,"Blue Copper, ""Varied Blue""","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
黄枯茶,2026,Голубь,1,Asiatic Lion,1.74772e+06,Ringle,"'Don Quixote', Miguel de Cervantes"
türkis,2126,Macreuse à bec jaune,8,Lion,4.04292e+06,Gulf Fritillary,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
schneeweiß,2080,Puffin des Baléares,8,Leopard,2.38434e+06,"Orange Sulphur, Alfalfa Butterfly","""If you are going through hell, keep going."", Sir Winston Churchill"
türkis,2012,Ánsar Piquicorto,8,Asiatic Cheetah,3.08695e+06,Pine White,"'The Godfather', Mario Puzo"
Grünspan,2055,Pipit de Godlewski,8,Mountain Lion,1.24579e+06,Peacock Butterfly,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
чёрный,2142,Weißwangengans,8,,222546,Peacock Butterfly,"""Roget's Thesaurus"", Peter Mark Roget"
ébène,2124,Malvasía Cabeciblanca,8,Lion,2.72454e+06,"Orange Sulphur, Alfalfa Butterfly","'Jaws', Peter Benchley"
Grünspan,2133,Голубь,8,,2.19076e+06,Behr's Hairstreak,"""Charlotte's Web"", E.B. White"
Grünspan,2122,Macreuse à bec jaune,8,Clouded Leopard,1.51313e+06,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
Grünspan,2033,Purpurreiher,8,,2.60925e+06,"Faun, Green Comma","""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
濡れ羽色,2079,Tüpfelsumpfhuhn,8,Cheetah,224945,Edith's Checkerspot,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2149,Голубь,8,Leopard,2.68076e+06,Dainty Sulphur,"'The Mark of Zorro', Johnston McCulley"
altrosa,2105,Araqua-pintado,0,Jaguar,2.60869e+06,Red Admiral,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
pechschwarz,2078,Purpurreiher,8,Leopard,813084,Gray-Veined White,"'Dune', Frank Herbert"
kohlrabenschwarz,2102,Silbón Europeo,8,Leopard,4.40395e+06,Pine White,"'A Tale of Two Cities', Charles Dickens"
blutrot,2092,Голубь,9,Leopard,4.55239e+06,Ringle,"'The Mark of Zorro', Johnston McCulley"
Grünspan,2135,Malvasía Cabeciblanca,8,Jaguar,259931,"Faun, Green Comma","'Dune', Frank Herbert"
dorado,2098,Ánsar Piquicorto,8,Amur Leopard,1.66256e+06,"Orange Sulphur, Alfalfa Butterfly","'20,000 Leagues under the Sea', Jules Verne"
dorado,2090,Tüpfelsumpfhuhn,8,Cougar,2.28348e+06,Pine White,"'The Godfather', Mario Puzo"
céruse,2022,Weißwangengans,4,Leopard,494421,Sooty Copper,"'Shōgun', James Clavell"
café,2055,Weißwangengans,8,,283811,"Orange Sulphur, Alfalfa Butterfly","""Do, or do not. There is no 'try'."", Yoda"
schneeweiß,2061,Macreuse à bec jaune,5,Mountain Lion,2.50976e+06,Moss' Elfin,"""Roget's Thesaurus"", Peter Mark Roget"
rouge,2107,Purpurreiher,8,Leopard,890415,Ox-Eyed Satyr,"'The Grapes of Wrath', John Steinbeck"
violeta,2125,Голубь,5,Asiatic Cheetah,2.77358e+06,Peacock Butterfly,"'The Hobbit', J.R.R. Tolkien"
schneeweiß,2124,Голубь,1,Asiatic Cheetah,3.34763e+06,Peacock Butterfly,"""Moral indignation is jealousy with a halo."", H. G. Wells"
púrpura,2090,Tüpfelsumpfhuhn,8,,4.40684e+06,"Orange Sulphur, Alfalfa Butterfly","'The Godfather', Mario Puzo"
pechschwarz,2123,Pipit de Godlewski,8,Mountain Lion,2.67969e+06,"Orange Sulphur, Alfalfa Butterfly","'A Tale of Two Cities', Charles Dickens"
Red-violet,2123,Araqua-pintado,8,Mountain Lion,4.04948e+06,Pine White,"""Where's Wally?"", Martin Handford"
kohlrabenschwarz,2145,Malvasía Cabeciblanca,8,Leopard,889000,Ringle,"""If you are going through hell, keep going."", Sir Winston Churchill"
blutrot,2095,Pipit de Godlewski,8,Snow Leopard,2.68734e+06,Moss' Elfin,"'Watership Down', Richard Adams"
kohlrabenschwarz,2054,Araqua-pintado,1,Mountain Lion,2.60945e+06,"Crown Fritillary, Coronis Fritillary","'Catch-22', Joseph Heller"
коричневый,2022,Purpurreiher,8,Asiatic Lion,700595,Behr's Hairstreak,"'Watership Down', Richard Adams"
jaune,2041,Araqua-pintado,8,Clouded Leopard,1.06962e+06,"Faun, Green Comma","'Dune', Frank Herbert"
濡れ羽色,2117,Pipit de Godlewski,7,Asiatic Lion,554026,"Faun, Green Comma","'20,000 Leagues under the Sea', Jules Verne"
blutrot,2116,Weißwangengans,8,,3.79141e+06,Indra Swallowtail,"""Do, or do not. There is no 'try'."", Yoda"
жёлтый,2048,Голубь,8,Lion,1.91212e+06,Ringle,"'Watership Down', Richard Adams"
Grünspan,2133,Pica-pau-de-penacho,5,Clouded Leopard,1.46444e+06,Mylitta Crescent,"'A Tale of Two Cities', Charles Dickens"
ébène,2102,Pipit de Godlewski,5,Mountain Lion,3.71251e+06,Edith's Copper,"'The Godfather', Mario Puzo"
jaune,2126,Malvasía Cabeciblanca,8,,714607,Gulf Fritillary,"'The Mark of Zorro', Johnston McCulley"
púrpura,2128,Pipit de Godlewski,8,,1.26522e+06,Edith's Copper,"'The Grapes of Wrath', John Steinbeck"
marrón,2025,Ánsar Piquicorto,5,Asiatic Lion,3.1671e+06,Behr's Hairstreak,"'The Odyssey', Homer"
ébène,2047,Лебедь,5,Mountain Lion,2.47064e+06,Edith's Checkerspot,"'Shōgun', James Clavell"
café,2012,Weißwangengans,8,,2.93841e+06,Peacock Butterfly,"'Catch-22', Joseph Heller"
schneeweiß,2105,Macreuse à bec jaune,4,Asiatic Lion,3.68503e+06,Pine White,"'The Exorcist', William Peter Blatty"
schneeweiß,2133,Macreuse à bec jaune,8,Asiatic Lion,3.24054e+06,Dainty Sulphur,"'The Godfather', Mario Puzo"
jaune,2134,Purpurreiher,8,Lion,1.82432e+06,Behr's Hairstreak,"'The Exorcist', William Peter Blatty"
紅梅色,2121,Goéland d'Amérique,5,,777067,Ringle,"'The Godfather', Mario Puzo"
blutrot,2084,Macreuse à bec jaune,8,Amur Leopard,2.36517e+06,Holly Blue,"""Roget's Thesaurus"", Peter Mark Roget"
rouge,2134,Pipit de Godlewski,8,Jaguar,986401,Peacock Butterfly,"'1984', George Orwell"
墨色,2065,Puffin des Baléares,8,,1.89515e+06,Edith's Checkerspot,"'The Mark of Zorro', Johnston McCulley"
marrón,2118,Araqua-pintado,1,Lion,1.57581e+06,Edith's Copper,"'The Mark of Zorro', Johnston McCulley"
rouge,2065,Purpurreiher,5,Clouded Leopard,3.16024e+06,Dainty Sulphur,"""Roget's Thesaurus"", Peter Mark Roget"
暗紅色/暗赤色,2126,Löffelente,8,Lion,1.66737e+06,Pine White,"'The Godfather', Mario Puzo"
púrpura,2026,Purpurreiher,8,,2.09036e+06,Mazarine Blue,"'The Exorcist', William Peter Blatty"
暗紅色/暗赤色,2144,Purpurreiher,5,Lion,1.99479e+06,Behr's Hairstreak,"""Where's Wally?"", Martin Handford"
