c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
marrón,2107,Purpurreiher,4,Mountain Lion,2.04578e+06,1.02704e+06,5.00221e+06,
blutrot,2017,Purpurreiher,3,Clouded Leopard,2.72463e+06,507653,2.46756e+06,
altrosa,2122,Weißwangengans,2,,4.1088e+06,167151,627172,
schneeweiß,2044,Tüpfelsumpfhuhn,1,Lion,2.32158e+06,872968,2.93913e+06,
коричневый,2145,Macreuse à bec jaune,1,,144876,1.16662e+06,9.41755e+06,
rouge,2140,Araqua-pintado,4,Lion,1.76979e+06,593285,8.34729e+06,
kohlrabenschwarz,2106,Malvasía Cabeciblanca,4,Cheetah,1.21758e+06,254773,2.99892e+06,
schneeweiß,2116,Marreca-cabocla,1,Lion,961270,668363,3.5424e+06,
schneeweiß,2073,Löffelente,2,Clouded Leopard,1.65756e+06,281140,5.99409e+06,
jaune,2107,Tüpfelsumpfhuhn,2,Mountain Lion,992301,418310,526873,
violeta,2078,Weißwangengans,4,,3.62639e+06,459174,2.69036e+06,
Cerise,2139,Silbón Europeo,2,Asiatic Lion,1.62628e+06,917258,1.41055e+06,
kohlrabenschwarz,2139,Macuco,2,Mountain Lion,2.19337e+06,274796,1.12482e+07,
kohlrabenschwarz,2147,Голубь,4,Leopard,1.22878e+06,300202,2.99404e+06,
rouge,2149,Puffin des Baléares,2,Leopard,1.64467e+06,197445,1.00259e+06,
красный,2093,Голубь,4,,2.29955e+06,629598,4.64576e+06,
céruse,2140,Weißwangengans,1,,3.21245e+06,804899,9.45971e+06,
café,2146,Weißwangengans,1,Jaguar,2.59407e+06,123632,9.66774e+06,
красный,2133,Puffin des Baléares,2,,2.49329e+06,338067,3.12747e+06,
pechschwarz,2062,Голубь,4,Clouded Leopard,223240,401552,7.73552e+06,
türkis,2064,Macreuse à bec jaune,4,Leopard,1.66737e+06,459318,7.92179e+06,
blutrot,2142,Pipit de Godlewski,0,Lion,2.55623e+06,170541,7.86298e+06,
Cerise,2125,Malvasía Cabeciblanca,4,Jaguar,2.65806e+06,257433,2.74702e+06,
красный,2148,Araqua-pintado,4,Asiatic Cheetah,1.85917e+06,226876,8.25564e+06,
marrón,2130,Macreuse à bec jaune,2,Clouded Leopard,552259,370862,3.49489e+06,
café,2034,Araqua-pintado,0,Cougar,1.91778e+06,344367,4.49129e+06,
pechschwarz,2067,Голубь,1,Lion,3.95231e+06,482890,1.91737e+06,
café,2107,Purpurreiher,0,,290460,837712,1.95873e+06,
jaune,2097,Löffelente,4,,1.02859e+06,1.19126e+06,4.20885e+06,
noir,2104,Pipit de Godlewski,3,Leopard,1.72337e+06,977609,9.75921e+06,
jaune,2071,Macreuse à bec jaune,0,Leopard,2.35802e+06,884772,1.05177e+06,
púrpura,2039,Marreca-cabocla,1,Clouded Leopard,2.38996e+06,606408,4.29292e+06,
blutrot,2138,Weißwangengans,0,Asiatic Lion,592457,558437,3.88849e+06,
黄枯茶,2031,Macreuse à bec jaune,1,,1.99188e+06,650034,1.45661e+06,
café,2123,Malvasía Cabeciblanca,1,Jaguar,1.51004e+06,751301,4.38592e+06,
fumée,2108,Pipit de Godlewski,2,,3.09377e+06,731196,7.73465e+06,
чёрный,2083,Araqua-pintado,2,Cougar,1.61921e+06,1.24687e+06,1.03191e+07,
café,2106,Pipit de Godlewski,2,,2.26287e+06,820122,283072,
schneeweiß,2076,Marreca-cabocla,2,Cougar,1.47186e+06,892282,7.8507e+06,
Orange-red,2134,Purpurreiher,1,Lion,2.98773e+06,44378.9,565227,
schneeweiß,2093,Орёл,4,Cheetah,2.32053e+06,40065,1.10166e+07,
濡れ羽色,2106,Purpurreiher,3,,1.76457e+06,577197,1.68954e+06,
blutrot,2116,Purpurreiher,4,,2.67273e+06,1.02789e+06,7.3905e+06,
Grünspan,2143,Silbón Europeo,1,Lion,1.94147e+06,392164,3.0989e+06,
blutrot,2072,Purpurreiher,2,Cheetah,2.29405e+06,192691,3.30178e+06,
чёрный,2137,Macreuse à bec jaune,2,Asiatic Lion,3.10551e+06,344024,2.15943e+06,
schneeweiß,2078,Tüpfelsumpfhuhn,2,,873474,965929,750414,
暗紅色/暗赤色,2148,Puffin des Baléares,1,,1.06392e+06,132425,278589,
türkis,2071,Голубь,3,Amur Leopard,2.45222e+06,110984,3.88378e+06,
céruse,2147,Macreuse à bec jaune,4,Leopard,3.96614e+06,239257,2.35009e+06,
ébène,2081,Macuco,4,Snow Leopard,1.59664e+06,1.00097e+06,5.22826e+06,
fumée,2069,Malvasía Cabeciblanca,0,Amur Leopard,2.88997e+06,298451,1.02142e+07,
blanc,2140,Purpurreiher,4,,4.57327e+06,123541,6.35116e+06,
Red-violet,2111,Pipit de Godlewski,1,Lion,1.83659e+06,704023,7.41825e+06,
dorado,2102,Macreuse à bec jaune,3,Leopard,1.6579e+06,1.04034e+06,619895,
blanc,2067,Голубь,4,Lion,1.62777e+06,111025,5.36652e+06,
pechschwarz,2087,Tüpfelsumpfhuhn,4,Leopard,235720,529880,3.43722e+06,
墨色,2137,Pipit de Godlewski,1,Amur Leopard,4.89508e+06,401078,5.69355e+06,
pechschwarz,2079,Macreuse à bec jaune,1,,477729,1.24734e+06,4.06306e+06,
blutrot,2144,Araqua-pintado,2,Leopard,1.88366e+06,958963,6.18215e+06,
Red-violet,2144,Macuco,1,,1.47217e+06,772214,1.24661e+06,
blutrot,2076,Silbón Europeo,1,Snow Leopard,617962,1.28925e+06,217352,
красный,2070,Pipit de Godlewski,3,,295359,403499,731748,
jaune,2127,Silbón Europeo,4,Leopard,3.54796e+06,787242,4.06773e+06,
kohlrabenschwarz,2077,Araqua-pintado,4,Asiatic Lion,3.1042e+06,943426,3.33623e+06,
café,2048,Silbón Europeo,4,Cheetah,1.06698e+06,1.04995e+06,7.43752e+06,
schneeweiß,2135,Орёл,2,Cheetah,430929,222501,2.18304e+06,
púrpura,2069,Silbón Europeo,2,Leopard,520717,337083,7.26267e+06,
kohlrabenschwarz,2099,Marreca-cabocla,4,,1.84835e+06,1.21064e+06,1.14242e+07,
серый,2106,Silbón Europeo,3,Cougar,2.79382e+06,398250,5.87562e+06,
púrpura,2086,Löffelente,4,Jaguar,3.41887e+06,882422,4.4901e+06,
altrosa,2061,Purpurreiher,1,Lion,2.94219e+06,1.01702e+06,8.03687e+06,
violeta,2036,Malvasía Cabeciblanca,2,Jaguar,1.46132e+06,502467,2.79321e+06,
blutrot,2071,Goéland d'Amérique,0,Leopard,3.57798e+06,319905,365601,
altrosa,2109,Орёл,1,Cheetah,2.96934e+06,314409,4.05173e+06,
rouge,2146,Silbón Europeo,0,Cougar,743104,585525,4.57982e+06,
jaune,2085,Malvasía Cabeciblanca,1,Cheetah,2.59132e+06,307274,2.2094e+06,
blutrot,2013,Purpurreiher,0,Cheetah,577494,239269,3.44238e+06,
noir,2102,Голубь,3,Leopard,2.55907e+06,410281,2.28946e+06,
blanc,2100,Macreuse à bec jaune,4,Leopard,813524,412024,8.15139e+06,
marrón,2096,Malvasía Cabeciblanca,2,Cougar,4.25364e+06,17439,1.22646e+07,
púrpura,2139,Macuco,0,Mountain Lion,207001,1.18758e+06,6.64171e+06,
blutrot,2106,Araqua-pintado,1,Asiatic Lion,1.13804e+06,576835,6.85315e+06,
blutrot,2080,Pica-pau-de-penacho,1,Asiatic Lion,3.36136e+06,408810,8.61676e+06,
blutrot,2149,Macreuse à bec jaune,4,Amur Leopard,1.55164e+06,123887,5.28643e+06,
Grünspan,2149,Орёл,1,Cheetah,1.59812e+06,1.212e+06,179482,
fumée,2120,Weißwangengans,4,Jaguar,2.89356e+06,1.12455e+06,4.83914e+06,
noir,2112,Malvasía Cabeciblanca,1,,2.28274e+06,213548,1.22371e+06,
Grünspan,2067,Weißwangengans,4,Jaguar,2.697e+06,128133,8.49366e+06,
白湯,2011,Araqua-pintado,4,Jaguar,350578,531664,365323,
白湯,2130,Pica-pau-de-penacho,2,Asiatic Lion,2.7436e+06,865198,996510,
púrpura,2035,Löffelente,2,,626484,1.00739e+06,5.24831e+06,
ébène,2041,Воробей,2,Snow Leopard,73289.5,701047,1.01743e+07,
blutrot,2062,Goéland d'Amérique,4,Cougar,794309,311147,216625,
jaune,2142,Macreuse à bec jaune,4,Leopard,1.05255e+06,671784,1.10551e+07,
kohlrabenschwarz,2144,Malvasía Cabeciblanca,1,Leopard,152017,618693,2.46784e+06,
Grünspan,2086,Silbón Europeo,4,Asiatic Cheetah,2.48909e+06,90398.6,3.23975e+06,
jaune,2132,Macreuse à bec jaune,4,Asiatic Lion,2.24466e+06,73907.8,8.0297e+06,
blutrot,2043,Macreuse à bec jaune,4,Lion,909940,276014,7.32108e+06,
rouge,2126,Purpurreiher,3,Lion,422857,815133,4.3702e+06,
türkis,2137,Silbón Europeo,0,Asiatic Lion,830030,1.07247e+06,6.69207e+06,
Indigo,2109,Tüpfelsumpfhuhn,4,Lion,1.8361e+06,682703,6.01819e+06,
黄枯茶,2138,Macreuse à bec jaune,4,Mountain Lion,321321,991833,96526.7,
jaune,2133,Pipit de Godlewski,4,,2.00835e+06,1.25231e+06,2.90728e+06,
серый,2034,Silbón Europeo,0,Cheetah,1.30384e+06,929145,8.13874e+06,
blutrot,2103,Araqua-pintado,4,Clouded Leopard,3.21362e+06,429855,2.27204e+06,
altrosa,2091,Pipit de Godlewski,4,Asiatic Lion,1.73511e+06,1.07348e+06,4.73332e+06,
Grünspan,2063,Löffelente,4,Asiatic Cheetah,546796,1.16534e+06,6.38647e+06,
dorado,2142,Marreca-cabocla,1,Leopard,2.1735e+06,660094,1.33748e+06,
marrón,2083,Puffin des Baléares,0,Snow Leopard,2.5891e+06,1.45312e+06,1.07891e+07,
kohlrabenschwarz,2138,Puffin des Baléares,4,,3.72655e+06,33364.5,38637.3,
altrosa,2139,Голубь,4,Cougar,2.63952e+06,191256,3.69928e+06,
dorado,2111,Purpurreiher,1,Cougar,3.13337e+06,929582,2.08102e+06,
marrón,2095,Pipit de Godlewski,2,,2.84471e+06,780711,9.77062e+06,
ébène,2113,Malvasía Cabeciblanca,1,Clouded Leopard,855283,226325,5.8192e+06,
pechschwarz,2112,Marreca-cabocla,1,Lion,3.98151e+06,446147,4.96958e+06,
Indigo,2107,Araqua-pintado,4,Asiatic Lion,3.23806e+06,631785,1.75973e+06,
blutrot,2082,Malvasía Cabeciblanca,1,Clouded Leopard,4.11983e+06,632702,3.0976e+06,
暗紅色/暗赤色,2081,Silbón Europeo,4,Jaguar,207381,64441.5,6.64686e+06,
türkis,2128,Tüpfelsumpfhuhn,0,Leopard,2.18929e+06,453560,6.35879e+06,
púrpura,2133,Puffin des Baléares,1,Mountain Lion,3.69266e+06,101960,3.74099e+06,
dorado,2144,Araqua-pintado,2,Cougar,811159,1.0291e+06,5.59283e+06,
blanc,2071,Pipit de Godlewski,0,,4.43341e+06,915051,3.64427e+06,
violeta,2149,Araqua-pintado,2,Asiatic Lion,1.56368e+06,222580,1.99002e+06,
blanc,2135,Goéland d'Amérique,1,,1.06137e+06,138474,6.1751e+06,
жёлтый,2118,Purpurreiher,2,,634782,673730,203860,
marrón,2026,Purpurreiher,4,,398366,379552,3.01424e+06,
pechschwarz,2141,Macreuse à bec jaune,1,,1.8051e+06,666767,1.46201e+06,
Grünspan,2127,Weißwangengans,2,Amur Leopard,3.7573e+06,237878,928667,
rouge,2147,Porrón Islándico,0,Asiatic Lion,4.49033e+06,967746,1.00138e+07,
blutrot,2117,Tüpfelsumpfhuhn,1,Cheetah,1.58405e+06,58925,4.17454e+06,
marrón,2131,Löffelente,4,Leopard,850227,683482,95933.5,
pechschwarz,2115,Purpurreiher,4,Cougar,2.22009e+06,706755,898252,
blutrot,2125,Ánsar Piquicorto,1,Cheetah,2.67476e+06,1.08842e+06,6.85966e+06,
Grünspan,2027,Löffelente,1,Asiatic Lion,2.11167e+06,625498,1.0392e+07,
Red-violet,2064,Purpurreiher,4,Asiatic Lion,2.46912e+06,968446,1.10452e+07,
púrpura,2108,Pipit de Godlewski,1,Leopard,2.85867e+06,576335,343686,
violeta,2053,Marreca-cabocla,4,Asiatic Lion,3.73769e+06,321380,3.2505e+06,
fumée,2124,Araqua-pintado,1,Mountain Lion,2.41843e+06,910775,7.80716e+06,
Red-violet,2093,Macreuse à bec jaune,4,,993341,296156,3.11349e+06,
серый,2023,Macreuse à bec jaune,0,Leopard,2.21329e+06,536512,138735,
pechschwarz,2102,Silbón Europeo,4,,922208,143011,6.19562e+06,
rouge,2081,Puffin des Baléares,1,Jaguar,143949,95140,1.07188e+07,
jaune,2148,Löffelente,4,Asiatic Lion,2.26269e+06,228510,6.29809e+06,
fumée,2134,Silbón Europeo,1,Asiatic Lion,173337,544733,6.7684e+06,
púrpura,2126,Лебедь,1,Amur Leopard,1.90826e+06,676212,1.21967e+07,
zitronengelb,2142,Purpurreiher,4,Asiatic Cheetah,1.22363e+06,266070,7.0546e+06,
schneeweiß,2089,Silbón Europeo,2,Cougar,897721,122219,2.15006e+06,
türkis,2075,Löffelente,2,,2.19019e+06,332152,472184,
púrpura,2142,Weißwangengans,2,,128965,623764,5.0907e+06,
türkis,2078,Голубь,1,Leopard,966660,223920,6.12087e+06,
blutrot,2109,Pipit de Godlewski,1,Asiatic Lion,1.63181e+06,938291,59223.9,
красный,2133,Purpurreiher,4,Leopard,659897,837895,422799,
zitronengelb,2138,Голубь,1,Cheetah,2.23404e+06,1.12038e+06,9.16178e+06,
Grünspan,2125,Macuco,1,,180519,40162.7,4.1019e+06,
ébène,2050,Weißwangengans,1,Leopard,2.83293e+06,356325,5.4527e+06,
café,2093,Tüpfelsumpfhuhn,4,,1.42118e+06,965684,2.68912e+06,
blutrot,2141,Löffelente,4,Asiatic Lion,2.27365e+06,434514,1.13235e+06,
fumée,2136,Macuco,2,Cheetah,602625,263202,1.28278e+06,
白湯,2060,Tüpfelsumpfhuhn,2,Snow Leopard,306850,476397,6.38745e+06,
dorado,2131,Malvasía Cabeciblanca,0,,2.84453e+06,482452,3.03868e+06,
jaune,2131,Голубь,1,Leopard,719658,396566,861057,
rouge,2095,Tüpfelsumpfhuhn,2,Clouded Leopard,2.9283e+06,266628,9.53276e+06,
blutrot,2126,Weißwangengans,1,Snow Leopard,2.75803e+06,860636,8.33225e+06,
blanc,2133,Лебедь,0,Mountain Lion,1.48955e+06,99891.1,2.35126e+06,
schneeweiß,2147,Goéland d'Amérique,1,,263398,302834,5.68723e+06,
marrón,2067,Macreuse à bec jaune,4,Cheetah,1.4325e+06,882293,5.97545e+06,
ébène,2133,Pipit de Godlewski,2,,2.22672e+06,722922,8.154e+06,
rouge,2124,Malvasía Cabeciblanca,2,Clouded Leopard,1.63653e+06,678563,1.94128e+06,
rouge,2101,Marreca-cabocla,1,Clouded Leopard,2.00379e+06,697607,1.12681e+07,
violeta,2072,Pipit de Godlewski,3,,872264,21048.8,1.04952e+07,
blutrot,2123,Araqua-pintado,4,Cheetah,1.42788e+06,372982,1.67938e+06,
blutrot,2043,Weißwangengans,4,Asiatic Lion,4.51739e+06,479159,803584,
Grünspan,2138,Macreuse à bec jaune,1,,2.58427e+06,111257,485960,
暗紅色/暗赤色,2112,Голубь,4,Jaguar,3.30732e+06,592287,711421,
türkis,2131,Macuco,1,Leopard,1.30787e+06,499372,5.57355e+06,
café,2108,Araqua-pintado,1,Cougar,4.67334e+06,518537,3.77636e+06,
коричневый,2147,Purpurreiher,4,Leopard,571262,1.01026e+06,6.23531e+06,
墨色,2131,Silbón Europeo,3,,2.12889e+06,946023,9.92421e+06,
schneeweiß,2114,Malvasía Cabeciblanca,0,,4.03266e+06,70221.7,1.68809e+06,
чёрный,2134,Weißwangengans,1,Clouded Leopard,1.02606e+06,829615,3.55954e+06,
красный,2067,Лебедь,1,Clouded Leopard,1.52336e+06,429368,9.46903e+06,
Cerise,2138,Marreca-cabocla,4,Lion,3.00098e+06,78607,2.53354e+06,
blutrot,2063,Pipit de Godlewski,4,Jaguar,1.5701e+06,370080,1.18053e+06,
jaune,2117,Macuco,4,Amur Leopard,657866,303853,8.66232e+06,
rouge,2035,Macuco,3,Cougar,151499,278589,38304.2,
rouge,2070,Silbón Europeo,0,,1.4541e+06,460418,3.70835e+06,
schneeweiß,2149,Marreca-cabocla,4,,1.76808e+06,196856,2.25818e+06,
pechschwarz,2103,Purpurreiher,4,Leopard,1.34172e+06,1.33277e+06,4.49391e+06,
kohlrabenschwarz,2130,Pipit de Godlewski,0,,614794,863581,7.37841e+06,
Red-violet,2095,Ánsar Piquicorto,1,,1.61308e+06,111851,4.82958e+06,
ébène,2117,Löffelente,2,Leopard,786933,1.30814e+06,1.3171e+07,
kohlrabenschwarz,2119,Tüpfelsumpfhuhn,1,Cheetah,3.23861e+06,886872,1.50348e+06,
jaune,2085,Purpurreiher,4,Lion,2.2716e+06,778481,5.78279e+06,
Grünspan,2135,Pipit de Godlewski,1,,3.7263e+06,231132,6.28737e+06,
schneeweiß,2136,Голубь,0,,3.00145e+06,56522.6,2.76276e+06,
Grünspan,2060,Ánsar Piquicorto,3,,3.5305e+06,98692.5,3.42008e+06,
marrón,2048,Araqua-pintado,4,Snow Leopard,307517,104201,2.06229e+06,
暗紅色/暗赤色,2116,Araqua-pintado,1,Asiatic Lion,1.59919e+06,1.33171e+06,133668,
café,2066,Purpurreiher,1,Asiatic Cheetah,320305,566571,6.80759e+06,
kohlrabenschwarz,2058,Weißwangengans,0,Asiatic Lion,4.15523e+06,1.14281e+06,6.50119e+06,
rouge,2114,Goéland d'Amérique,4,Jaguar,1.01354e+06,708089,2.51485e+06,
暗紅色/暗赤色,2026,Marreca-cabocla,1,Clouded Leopard,2.28924e+06,109770,4.49158e+06,
blutrot,2020,Орёл,2,Leopard,231645,792532,1.03483e+06,
blutrot,2063,Weißwangengans,3,,4.24864e+06,355116,3.79303e+06,
púrpura,2031,Weißwangengans,1,Lion,2.59279e+06,14711.8,1.05744e+06,
café,2048,Malvasía Cabeciblanca,1,,3.91903e+06,880037,1.10026e+07,
kohlrabenschwarz,2070,Tüpfelsumpfhuhn,3,Cheetah,1.46681e+06,698256,615427,
marrón,2110,Löffelente,4,,2.62559e+06,808121,261207,
dorado,2133,Голубь,4,,1.40405e+06,602541,1.28637e+07,
café,2104,Pipit de Godlewski,1,,1.80354e+06,307326,8.07052e+06,
kohlrabenschwarz,2095,Орёл,1,,1.51421e+06,1.25254e+06,437282,
Red-violet,2072,Pipit de Godlewski,4,Clouded Leopard,1.04766e+06,604994,4.07368e+06,
blutrot,2147,Macreuse à bec jaune,1,Asiatic Cheetah,954203,687106,4.0506e+06,
schneeweiß,2074,Malvasía Cabeciblanca,1,Asiatic Cheetah,2.2251e+06,215271,2.92626e+06,
schneeweiß,2128,Macuco,4,Leopard,2.4128e+06,211440,9.04573e+06,
kohlrabenschwarz,2097,Marreca-cabocla,1,Asiatic Lion,490608,128836,3.74352e+06,
altrosa,2071,Purpurreiher,4,Lion,1.71515e+06,16208.1,3.80188e+06,
ébène,2138,Macreuse à bec jaune,3,Clouded Leopard,2.98447e+06,123057,1.03602e+07,
púrpura,2051,Голубь,2,Leopard,718141,144136,4.86623e+06,
blutrot,2141,Araqua-pintado,3,,4.13406e+06,1.12315e+06,4.23955e+06,
Red-violet,2143,Macreuse à bec jaune,1,,3.74174e+06,26510.4,2.43768e+06,
marrón,2075,Pipit de Godlewski,4,Cougar,1.0977e+06,112799,1.85157e+06,
Red-violet,2125,Macreuse à bec jaune,2,Leopard,1.95717e+06,366334,7.7129e+06,
pechschwarz,2140,Лебедь,4,Snow Leopard,2.61321e+06,290385,8.6971e+06,
dorado,2137,Macuco,2,,1.04334e+06,169683,4.5254e+06,
濡れ羽色,2099,Голубь,2,Lion,3.88568e+06,117846,271017,
jaune,2106,Орёл,1,Clouded Leopard,2.9281e+06,348318,1.95439e+06,
pechschwarz,2145,Malvasía Cabeciblanca,4,,839885,793804,7.45784e+06,
blutrot,2132,Орёл,4,,480601,97184.3,5.16145e+06,
blutrot,2076,Araqua-pintado,2,,1.96054e+06,795491,4.30899e+06,
fumée,2098,Macreuse à bec jaune,2,,733413,1.41087e+06,1.61765e+06,
kohlrabenschwarz,2015,Воробей,0,Asiatic Lion,3.10271e+06,83100.8,9.70103e+06,
schneeweiß,2092,Silbón Europeo,1,,2.37926e+06,42250.1,3.1534e+06,
rouge,2134,Purpurreiher,0,Lion,803466,1.34568e+06,2224.5,
blanc,2124,Tüpfelsumpfhuhn,4,Clouded Leopard,792824,983118,4.12689e+06,
dorado,2116,Silbón Europeo,1,Leopard,2.58653e+06,1.03302e+06,2.35287e+06,
красный,2054,Macuco,4,Snow Leopard,2.59056e+06,241471,2.85651e+06,
türkis,2143,Weißwangengans,4,Cougar,543000,273743,1.13398e+07,
altrosa,2016,Purpurreiher,2,,3.69884e+06,863677,6.13718e+06,
濡れ羽色,2106,Tüpfelsumpfhuhn,0,Snow Leopard,713512,503139,2.03821e+06,
púrpura,2127,Macreuse à bec jaune,1,,3.44722e+06,413651,160489,
türkis,2120,Malvasía Cabeciblanca,2,Mountain Lion,550083,1.213e+06,9.41803e+06,
marrón,2140,Ánsar Piquicorto,4,Leopard,1.86268e+06,847759,6.5039e+06,
Grünspan,2115,Weißwangengans,1,Clouded Leopard,596899,587850,9.1924e+06,
白湯,2133,Silbón Europeo,4,,2.97344e+06,203833,1.31972e+07,
blutrot,2105,Weißwangengans,1,Leopard,3.84138e+06,216669,1.57073e+06,
jaune,2105,Araqua-pintado,1,Asiatic Lion,479532,116512,4.43289e+06,
Grünspan,2137,Weißwangengans,0,Asiatic Cheetah,1.22359e+06,84256.6,7.40177e+06,
marrón,2117,Weißwangengans,1,Clouded Leopard,1.72511e+06,174875,2.3684e+06,
schneeweiß,2099,Weißwangengans,1,Jaguar,241597,624969,2.85594e+06,
púrpura,2123,Лебедь,2,,308381,485102,1.06697e+06,
violeta,2111,Araqua-pintado,2,Leopard,1.76028e+06,281700,2.02504e+06,
altrosa,2071,Tüpfelsumpfhuhn,2,Leopard,1.67628e+06,541400,8.79792e+06,
jaune,2124,Tüpfelsumpfhuhn,4,,1.3074e+06,322182,69125.2,
Grünspan,2108,Голубь,1,Lion,941299,370199,1.82507e+06,
jaune,2111,Silbón Europeo,3,Asiatic Lion,1.60367e+06,337591,910720,
красный,2097,Purpurreiher,1,Asiatic Lion,379271,546693,244573,
jaune,2054,Воробей,4,,2.79327e+06,555420,7.74325e+06,
púrpura,2144,Purpurreiher,1,,533618,657705,4.06268e+06,
kohlrabenschwarz,2132,Macuco,2,Asiatic Lion,724305,38331.5,1.06947e+07,
fumée,2084,Macuco,0,Leopard,444495,696595,4.05675e+06,
púrpura,2065,Araqua-pintado,4,Cheetah,846161,1.05193e+06,8.22627e+06,
marrón,2096,Purpurreiher,1,,2.65048e+06,485259,668974,
marrón,2058,Marreca-cabocla,2,Asiatic Lion,149682,832801,698315,
Grünspan,2080,Purpurreiher,4,Jaguar,1.85605e+06,940280,9.97557e+06,
türkis,2023,Purpurreiher,4,,398006,809798,780771,
濡れ羽色,2072,Silbón Europeo,2,,825311,260118,6.71377e+06,
violeta,2114,Pica-pau-de-penacho,4,,4.18874e+06,63313.5,2.84233e+06,
blutrot,2145,Marreca-cabocla,4,Mountain Lion,741188,741729,5.55329e+06,
rouge,2018,Löffelente,4,Lion,2.3436e+06,384996,1.36418e+06,
céruse,2143,Weißwangengans,2,Jaguar,2.0944e+06,883475,643746,
café,2132,Орёл,1,,725896,838104,7.1735e+06,
jaune,2063,Marreca-cabocla,1,Asiatic Lion,3.43028e+06,490771,2.73588e+06,
noir,2110,Pipit de Godlewski,4,,2.97847e+06,300853,1.08175e+07,
ébène,2064,Löffelente,1,,1.4249e+06,460025,6.97945e+06,
Cerise,2134,Malvasía Cabeciblanca,1,Mountain Lion,4.15826e+06,995510,1.1071e+07,
púrpura,2068,Голубь,0,Asiatic Cheetah,1.02724e+06,1.01925e+06,6.31838e+06,
púrpura,2028,Tüpfelsumpfhuhn,4,Asiatic Lion,1.00622e+06,444196,1.56663e+06,
türkis,2058,Purpurreiher,2,,1.41045e+06,574032,4.30554e+06,
fumée,2033,Silbón Europeo,1,,1.55299e+06,581499,21605,
blutrot,2106,Tüpfelsumpfhuhn,4,Leopard,2.78331e+06,714421,2.80204e+06,
fumée,2087,Tüpfelsumpfhuhn,3,Lion,3.92804e+06,110485,1.86744e+06,
zitronengelb,2149,Tüpfelsumpfhuhn,2,Snow Leopard,530517,45548.9,8.55194e+06,
café,2080,Pipit de Godlewski,4,,390499,565745,9.15558e+06,
Cerise,2137,Araqua-pintado,2,Lion,2.40788e+06,367745,5.7032e+06,
fumée,2091,Silbón Europeo,2,,1.6354e+06,220416,3.46701e+06,
kohlrabenschwarz,2067,Голубь,2,Mountain Lion,600345,269938,1.00195e+07,
blutrot,2074,Silbón Europeo,4,Cougar,4.2065e+06,1.04448e+06,1.40152e+06,
zitronengelb,2087,Weißwangengans,0,Cheetah,159485,950124,1.51025e+06,
türkis,2099,Ánsar Piquicorto,2,Snow Leopard,587961,106781,4.49928e+06,
pechschwarz,2137,Purpurreiher,2,Cheetah,1.65737e+06,82631.8,7.51164e+06,
blutrot,2071,Pipit de Godlewski,2,,2.15033e+06,647888,807359,
marrón,2049,Воробей,4,Cougar,652746,242697,1.01946e+07,
türkis,2129,Орёл,4,Jaguar,2.83836e+06,327394,365227,
Cerise,2143,Löffelente,4,Jaguar,1.5135e+06,208531,2.90729e+06,
marrón,2067,Löffelente,0,Asiatic Lion,853191,668018,8.51153e+06,
türkis,2119,Löffelente,1,Asiatic Lion,655411,732214,1.90599e+06,
Cerise,2085,Pipit de Godlewski,4,,520821,435807,8.88763e+06,
жёлтый,2148,Macuco,2,,90134.6,934368,5.52441e+06,
blutrot,2144,Löffelente,4,,1.54216e+06,809509,3.92313e+06,
красный,2114,Purpurreiher,2,Asiatic Lion,571723,34450.8,3.50545e+06,
blutrot,2115,Tüpfelsumpfhuhn,1,Mountain Lion,2.90527e+06,29560.3,1.49387e+06,
céruse,2149,Лебедь,0,,749034,911912,5.09705e+06,
rouge,2142,Tüpfelsumpfhuhn,2,Amur Leopard,1.6461e+06,408219,4.9824e+06,
kohlrabenschwarz,2123,Орёл,2,Leopard,357370,386684,2.10961e+06,
濡れ羽色,2148,Macuco,4,Clouded Leopard,3.07035e+06,911048,2.77217e+06,
kohlrabenschwarz,2148,Porrón Islándico,4,Asiatic Lion,571170,293682,4.57976e+06,
türkis,2094,Macreuse à bec jaune,2,Asiatic Lion,862039,68229,486501,
schneeweiß,2107,Pipit de Godlewski,2,,694822,1.27979e+06,1.29993e+07,
blutrot,2006,Araqua-pintado,0,Jaguar,2.35196e+06,1.09392e+06,3.12854e+06,
blutrot,2092,Araqua-pintado,2,,682045,452913,6.19018e+06,
marrón,2023,Tüpfelsumpfhuhn,4,,497844,158437,3.61022e+06,
café,2085,Орёл,2,Leopard,584907,605825,5.12879e+06,
Grünspan,2064,Pipit de Godlewski,3,Snow Leopard,2.90972e+06,165077,2.80939e+06,
púrpura,2066,Macreuse à bec jaune,4,Cheetah,2.03021e+06,1.04818e+06,433737,
blutrot,2144,Голубь,3,Cougar,1.51671e+06,1.091e+06,561727,
ébène,2139,Porrón Islándico,2,Asiatic Lion,359394,132195,238316,
jaune,2034,Tüpfelsumpfhuhn,4,,2.29419e+06,672865,1.13821e+07,
fumée,2107,Pipit de Godlewski,1,,1.01975e+06,406838,3.68165e+06,
ébène,2026,Ánsar Piquicorto,2,Leopard,1.10878e+06,537508,8.8926e+06,
türkis,2134,Голубь,4,,2.37469e+06,799964,1.88174e+06,
púrpura,2028,Воробей,4,Leopard,351084,890043,2.52689e+06,
café,2080,Weißwangengans,1,,1.55397e+06,845254,188859,
